Job ID,Location #,Title - DO NOT EDIT,Region,Current Req Status,Site Name,City,Location Address,Location Name,State,Lat,Lng
2130277BR,LWS1570,FT-Sales Specialist Flooring-Day,LWS_USA_Lowe's Region 15,On hold,External - US,Houston,4645 Beechnut Street,LWS1570,USA-TX,,
2148933BR,LWS3027,FT-Sales Specialist ProServices-Opening,LWS_USA_Lowe's Region 15,On hold,,Missouri City,3807 Fm 1092,LWS3027,USA-TX,,
2533776BR,LWS0209,Full Time - Sales Specialist - Cabinets – Day,LWS_USA_Lowe's Region 15,Open,External - US,Killeen,2801 South W.S. Young Dr,LWS0209,USA-TX,,
2552373BR,LWS0137,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,External - US,Lake Jackson,200 Hwy. 332 East,LWS0137,USA-TX,,
2554730BR,LWS0159,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,External - US,San Marcos,2211 Ih 35 South,LWS0159,USA-TX,,
2555026BR,LWS2975,Full Time - Sales Specialist - Cabinets – Day,LWS_USA_Lowe's Region 15,Open,External - US,Marrero,4950 Promenade Blvd,LWS2975,USA-LA,,
2557355BR,LWS2965,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,External - US,Pineville,3200 Monroe Highway,LWS2965,USA-LA,,
2558081BR,LWS0511,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Sugar Land,16510 S. W. Freeway,LWS0511,USA-TX,,
2558118BR,LWS2669,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,External - US,Brownsville,525 East Ruben Torres Blvd,LWS2669,USA-TX,,
2558151BR,LWS2812,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,New Braunfels,1455 Ih 35 South,LWS2812,USA-TX,,
2558469BR,LWS2513,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,Austin,6400 Brodie Lane,LWS2513,USA-TX,,
2558655BR,LWS2418,Full Time - Sales Specialist - Cabinets – Day,LWS_USA_Lowe's Region 15,Open,External - US,Ruston,809 Morrison Drive,LWS2418,USA-LA,,
2558718BR,LWS0461,Full Time - Sales Specialist - Cabinets – Day,LWS_USA_Lowe's Region 15,Open,External - US,Baton Rouge,9460 Cortana Place,LWS0461,USA-LA,,
2558915BR,LWS1128,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,External - US,Houston,1000 Gulfgate Center Mall,LWS1128,USA-TX,,
2558918BR,LWS0563,Full Time - Sales Specialist - ProServices – Closing,LWS_USA_Lowe's Region 15,Open,External - US,Spring,20201 N. Ih45,LWS0563,USA-TX,,
2559463BR,LWS1645,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,San Antonio,1470 Austin Highway,LWS1645,USA-TX,,
2559730BR,LWS0129,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,External - US,Waco,201 North New Road,LWS0129,USA-TX,,
2559742BR,LWS1530,Sales Specialist Cabinets,LWS_USA_Lowe's Region 15,Open,External - US,Humble,7355 Fm 1960 Road East,LWS1530,USA-TX,,
2559857BR,LWS0590,Full Time - Sales Specialist - Cabinets – Day,LWS_USA_Lowe's Region 15,Open,External - US,Austin,13201 N Ranch Rd 620 Bldg G,LWS0590,USA-TX,,
2560707BR,LWS2553,Sales Specialist - Appliances And Cabinets,LWS_USA_Lowe's Region 15,Open,External - US,Flowood,120 Ridge Way,LWS2553,USA-MS,,
2560795BR,LWS1145,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,Houston,6161 E. Sam Houston Pkwy North,LWS1145,USA-TX,,
2561156BR,LWS1085,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,External - US,Harvey,1351 Manhattan Blvd.,LWS1085,USA-LA,,
2561361BR,LWS1899,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,External - US,Sulphur,305 S. Cities Service Highway,LWS1899,USA-LA,,
2561440BR,LWS3306,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,External - US,Katy,9505 Spring Green Blvd,LWS3306,USA-TX,,
2561687BR,LWS1052,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,Tomball,14236 Fm2920,LWS1052,USA-TX,,
2561976BR,LWS0589,Full Time - Sales Specialist - Windows And Walls – Day,LWS_USA_Lowe's Region 15,Open,External - US,Lake Charles,2800 Derek Drive,LWS0589,USA-LA,,
2562188BR,LWS2824,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,Schertz,17280 Ih 35 N,LWS2824,USA-TX,,
2562558BR,LWS0186,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Baton Rouge,10303 South Mall Dr.,LWS0186,USA-LA,,
2563389BR,LWS1088,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,External - US,San Antonio,11333 Bandera Rod,LWS1088,USA-TX,,
2572036BR,LWS1948,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,External - US,Bee Cave,12611 Suite 100 Shops Pkwy,LWS1948,USA-TX,,
2572041BR,LWS1769,Sales Specialist - Appliances And Cabinets,LWS_USA_Lowe's Region 15,Open,External - US,Jasper,900 West Gibson,LWS1769,USA-TX,,
2572341BR,LWS2350,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,External - US,Waveland,9020 Highway 603,LWS2350,USA-MS,,
2572451BR,LWS2208,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,External - US,Philadelphia,1105 Central Drive,LWS2208,USA-MS,,
2572508BR,LWS2563,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,Laurel,1490 Highway 15 North,LWS2563,USA-MS,,
2572802BR,LWS3015,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Abbeville,2700 Charity Street,LWS3015,USA-LA,,
2573292BR,LWS1727,Full Time - Sales Specialist - Appliances – Day,LWS_USA_Lowe's Region 15,Open,External - US,Austin,8000 Shoal Creek Boulevard,LWS1727,USA-TX,,
2573355BR,LWS0651,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,Webster,19225 Gulf Freeway,LWS0651,USA-TX,,
2573538BR,LWS0103,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Bryan,3225 Freedom Blvd.,LWS0103,USA-TX,,
2573630BR,LWS0778,Full Time - Sales Specialist - Cabinets – Day,LWS_USA_Lowe's Region 15,Open,External - US,Round Rock,120 Sundance Parkway,LWS0778,USA-TX,,
2573869BR,LWS1107,Full Time - Sales Specialist - Appliances – Closing,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,New Iberia,2816 Highway 14,LWS1107,USA-LA,,
2574411BR,LWS0690,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Diberville,3700 Sangani Blvd.,LWS0690,USA-MS,,
2574521BR,LWS0712,Full Time - Sales Specialist - Appliances – Closing,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Pascagoula,3301 Denny Avenue,LWS0712,USA-MS,,
2574583BR,LWS0098,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Houston,19935 Katy Freeway,LWS0098,USA-TX,,
2574670BR,LWS0484,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,External - US,Lafayette,3726 Ambassador Caffery,LWS0484,USA-LA,,
2575011BR,LWS0097,Full Time - Sales Specialist - Flooring – Day,LWS_USA_Lowe's Region 15,Open,External - US,Baytown,5002 Garth Rd.,LWS0097,USA-TX,,
2575326BR,LWS0596,Full Time - Sales Specialist - Cabinets – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Houma,1592 Martin Luther King Blvd.,LWS0596,USA-LA,,
2575746BR,LWS2484,Full Time - Sales Specialist - Millwork – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Baton Rouge,1777 Millerville Road,LWS2484,USA-LA,,
2575935BR,LWS1825,Full Time - Sales Specialist - Appliances – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Corpus Christi,1530 Airline Road,LWS1825,USA-TX,,
2576337BR,LWS1725,Sales Specialist - Appliances And Cabinets,LWS_USA_Lowe's Region 15,Open,External - US,Austin,13000 N I35 Svc Rd Sb Bldg 12,LWS1725,USA-TX,,
2576400BR,LWS2622,Full Time - Sales Specialist - ProServices – Day,LWS_USA_Lowe's Region 15,Open,Internal SSO - US,Ridgeland,910 East County Line,LWS2622,USA-MS,,